TimeStamp,ecg,ppg
12:09:17,-323.0,170.0,181.0
12:09:17,-323.0,170.0,181.0
12:09:17,-323.0,170.0,181.0
12:09:17,-335.0,167.0,180.0
12:09:17,-335.0,167.0,180.0
12:09:17,-335.0,167.0,180.0
12:09:17,-335.0,167.0,180.0
12:09:17,-294.0,167.0,181.0
12:09:17,-294.0,167.0,181.0
12:09:17,-294.0,167.0,181.0
12:09:17,-294.0,167.0,181.0
12:09:17,-305.0,168.0,179.0
12:09:17,-305.0,168.0,179.0
12:09:17,-305.0,168.0,179.0
12:09:17,-305.0,168.0,179.0
12:09:17,-310.0,168.0,180.0
12:09:17,-310.0,168.0,180.0
12:09:17,-310.0,168.0,180.0
12:09:17,-310.0,168.0,180.0
12:09:17,-355.0,168.0,180.0
12:09:17,-355.0,168.0,180.0
12:09:17,-355.0,168.0,180.0
12:09:17,-355.0,168.0,180.0
12:09:17,-397.0,168.0,179.0
12:09:17,-397.0,168.0,179.0
12:09:17,-397.0,168.0,179.0
12:09:17,-397.0,168.0,179.0
12:09:17,-417.0,168.0,180.0
12:09:17,-417.0,168.0,180.0
12:09:17,-417.0,168.0,180.0
12:09:17,-417.0,168.0,180.0
12:09:17,-407.0,169.0,180.0
12:09:17,-407.0,169.0,180.0
12:09:17,-407.0,169.0,180.0
12:09:17,-407.0,169.0,180.0
12:09:17,-416.0,168.0,182.0
12:09:17,-416.0,168.0,182.0
12:09:17,-416.0,168.0,182.0
12:09:17,-416.0,168.0,182.0
12:09:17,-398.0,167.0,180.0
12:09:17,-398.0,167.0,180.0
12:09:17,-398.0,167.0,180.0
12:09:17,-398.0,167.0,180.0
12:09:17,-393.0,168.0,182.0
12:09:17,-393.0,168.0,182.0
12:09:17,-393.0,168.0,182.0
12:09:17,-393.0,168.0,182.0
12:09:17,-409.0,169.0,180.0
12:09:17,-409.0,169.0,180.0
12:09:17,-409.0,169.0,180.0
12:09:17,-409.0,169.0,180.0
12:09:17,-406.0,168.0,181.0
12:09:17,-406.0,168.0,181.0
12:09:17,-406.0,168.0,181.0
12:09:17,-406.0,168.0,181.0
12:09:17,-406.0,168.0,181.0
12:09:17,-406.0,168.0,181.0
12:09:17,-406.0,168.0,181.0
12:09:17,-406.0,168.0,181.0
12:09:17,-417.0,167.0,181.0
12:09:17,-417.0,167.0,181.0
12:09:17,-417.0,167.0,181.0
12:09:17,-417.0,167.0,181.0
12:09:17,-400.0,169.0,181.0
12:09:17,-400.0,169.0,181.0
12:09:17,-400.0,169.0,181.0
12:09:17,-400.0,169.0,181.0
12:09:17,-398.0,167.0,179.0
12:09:17,-398.0,167.0,179.0
12:09:17,-398.0,167.0,179.0
12:09:17,-398.0,167.0,179.0
12:09:17,-419.0,168.0,181.0
12:09:17,-419.0,168.0,181.0
12:09:17,-419.0,168.0,181.0
12:09:17,-419.0,168.0,181.0
12:09:17,-433.0,167.0,182.0
12:09:17,-433.0,167.0,182.0
12:09:17,-433.0,167.0,182.0
12:09:17,-433.0,167.0,182.0
12:09:17,-403.0,166.0,181.0
12:09:17,-403.0,166.0,181.0
12:09:17,-403.0,166.0,181.0
12:09:17,-403.0,166.0,181.0
12:09:17,-372.0,167.0,181.0
12:09:17,-372.0,167.0,181.0
12:09:17,-372.0,167.0,181.0
12:09:17,-372.0,167.0,181.0
12:09:17,-328.0,168.0,181.0
12:09:17,-328.0,168.0,181.0
12:09:17,-328.0,168.0,181.0
12:09:17,-328.0,168.0,181.0
12:09:17,-417.0,168.0,182.0
12:09:17,-417.0,168.0,182.0
12:09:17,-417.0,168.0,182.0
12:09:17,-417.0,168.0,182.0
12:09:17,-407.0,167.0,178.0
12:09:17,-407.0,167.0,178.0
12:09:18,-407.0,167.0,178.0
12:09:18,-407.0,167.0,178.0
12:09:18,-439.0,167.0,182.0
12:09:18,-439.0,167.0,182.0
12:09:18,-439.0,167.0,182.0
12:09:18,-439.0,167.0,182.0
12:09:18,-422.0,167.0,181.0
12:09:18,-422.0,167.0,181.0
12:09:18,-422.0,167.0,181.0
12:09:18,-422.0,167.0,181.0
12:09:18,-178.0,168.0,181.0
12:09:18,-178.0,168.0,181.0
12:09:18,-178.0,168.0,181.0
12:09:18,-178.0,168.0,181.0
12:09:18,-660.0,167.0,180.0
12:09:18,-660.0,167.0,180.0
12:09:18,-660.0,167.0,180.0
12:09:18,-660.0,167.0,180.0
12:09:18,-556.0,168.0,181.0
12:09:18,-556.0,168.0,181.0
12:09:18,-556.0,168.0,181.0
12:09:18,-556.0,168.0,181.0
12:09:18,-388.0,167.0,181.0
12:09:18,-388.0,167.0,181.0
12:09:18,-388.0,167.0,181.0
12:09:18,-388.0,167.0,181.0
12:09:18,-400.0,167.0,180.0
12:09:18,-400.0,167.0,180.0
12:09:18,-400.0,167.0,180.0
12:09:18,-400.0,167.0,180.0
12:09:18,-383.0,166.0,181.0
12:09:18,-383.0,166.0,181.0
