TimeStamp,ECG,PPG
15:30:29,494.0,-22132.0,-2490.0
15:30:29,494.0,-22132.0,-2490.0
15:30:29,539.0,-22120.0,-2450.0
15:30:29,539.0,-22120.0,-2450.0
15:30:29,539.0,-22120.0,-2450.0
15:30:29,539.0,-22120.0,-2450.0
15:30:29,583.0,-22118.0,-2411.0
15:30:29,583.0,-22118.0,-2411.0
15:30:29,583.0,-22118.0,-2411.0
15:30:29,583.0,-22118.0,-2411.0
15:30:29,648.0,-22109.0,-2388.0
15:30:29,648.0,-22109.0,-2388.0
15:30:29,648.0,-22109.0,-2388.0
15:30:29,648.0,-22109.0,-2388.0
15:30:29,729.0,-22098.0,-2358.0
15:30:29,729.0,-22098.0,-2358.0
15:30:29,729.0,-22098.0,-2358.0
15:30:29,729.0,-22098.0,-2358.0
15:30:29,811.0,-22128.0,-2461.0
15:30:29,811.0,-22128.0,-2461.0
15:30:29,811.0,-22128.0,-2461.0
15:30:29,811.0,-22128.0,-2461.0
15:30:29,828.0,-22246.0,-2877.0
15:30:29,828.0,-22246.0,-2877.0
15:30:29,828.0,-22246.0,-2877.0
15:30:29,828.0,-22246.0,-2877.0
15:30:29,799.0,-22379.0,-3327.0
15:30:29,799.0,-22379.0,-3327.0
15:30:29,799.0,-22379.0,-3327.0
15:30:29,799.0,-22379.0,-3327.0
15:30:29,762.0,-22444.0,-3532.0
15:30:29,762.0,-22444.0,-3532.0
15:30:29,762.0,-22444.0,-3532.0
15:30:30,762.0,-22444.0,-3532.0
15:30:30,819.0,-22470.0,-3643.0
15:30:30,819.0,-22470.0,-3643.0
15:30:30,819.0,-22470.0,-3643.0
15:30:30,819.0,-22470.0,-3643.0
15:30:30,902.0,-22455.0,-3621.0
15:30:30,902.0,-22455.0,-3621.0
15:30:30,902.0,-22455.0,-3621.0
15:30:30,902.0,-22455.0,-3621.0
15:30:30,981.0,-22427.0,-3534.0
15:30:30,981.0,-22427.0,-3534.0
15:30:30,981.0,-22427.0,-3534.0
15:30:30,981.0,-22427.0,-3534.0
15:30:30,1047.0,-22385.0,-3410.0
15:30:30,1047.0,-22385.0,-3410.0
15:30:30,1047.0,-22385.0,-3410.0
15:30:30,1047.0,-22385.0,-3410.0
15:30:30,1036.0,-22344.0,-3278.0
15:30:30,1036.0,-22344.0,-3278.0
15:30:30,1036.0,-22344.0,-3278.0
15:30:30,1036.0,-22344.0,-3278.0
15:30:30,1051.0,-22308.0,-3156.0
15:30:30,1051.0,-22308.0,-3156.0
15:30:30,1051.0,-22308.0,-3156.0
15:30:30,1051.0,-22308.0,-3156.0
15:30:30,1023.0,-22279.0,-3057.0
15:30:30,1023.0,-22279.0,-3057.0
15:30:30,1023.0,-22279.0,-3057.0
15:30:30,1023.0,-22279.0,-3057.0
15:30:30,969.0,-22263.0,-2959.0
15:30:30,969.0,-22263.0,-2959.0
15:30:30,969.0,-22263.0,-2959.0
15:30:30,969.0,-22263.0,-2959.0
15:30:30,914.0,-22243.0,-2895.0
15:30:30,914.0,-22243.0,-2895.0
15:30:30,914.0,-22243.0,-2895.0
15:30:30,914.0,-22243.0,-2895.0
15:30:30,884.0,-22228.0,-2822.0
15:30:30,884.0,-22228.0,-2822.0
15:30:30,884.0,-22228.0,-2822.0
15:30:30,884.0,-22228.0,-2822.0
15:30:30,858.0,-22218.0,-2796.0
15:30:30,858.0,-22218.0,-2796.0
15:30:30,858.0,-22218.0,-2796.0
15:30:30,858.0,-22218.0,-2796.0
15:30:30,868.0,-22224.0,-2774.0
15:30:30,868.0,-22224.0,-2774.0
15:30:30,868.0,-22224.0,-2774.0
15:30:30,868.0,-22224.0,-2774.0
15:30:30,818.0,-22220.0,-2782.0
15:30:30,818.0,-22220.0,-2782.0
15:30:30,818.0,-22220.0,-2782.0
15:30:30,818.0,-22220.0,-2782.0
15:30:30,745.0,-22225.0,-2781.0
15:30:30,745.0,-22225.0,-2781.0
15:30:30,745.0,-22225.0,-2781.0
15:30:30,745.0,-22225.0,-2781.0
15:30:30,732.0,-22224.0,-2779.0
15:30:30,732.0,-22224.0,-2779.0
15:30:30,732.0,-22224.0,-2779.0
15:30:30,732.0,-22224.0,-2779.0
15:30:30,716.0,-22223.0,-2770.0
15:30:30,716.0,-22223.0,-2770.0
15:30:30,716.0,-22223.0,-2770.0
15:30:30,716.0,-22223.0,-2770.0
15:30:30,700.0,-22212.0,-2738.0
15:30:30,700.0,-22212.0,-2738.0
15:30:30,700.0,-22212.0,-2738.0
15:30:30,700.0,-22212.0,-2738.0
15:30:30,736.0,-22214.0,-2712.0
15:30:30,736.0,-22214.0,-2712.0
15:30:30,736.0,-22214.0,-2712.0
15:30:30,736.0,-22214.0,-2712.0
15:30:30,1021.0,-22206.0,-2681.0
15:30:30,1021.0,-22206.0,-2681.0
15:30:30,1021.0,-22206.0,-2681.0
15:30:30,1021.0,-22206.0,-2681.0
15:30:30,620.0,-22192.0,-2652.0
15:30:30,620.0,-22192.0,-2652.0
15:30:30,620.0,-22192.0,-2652.0
15:30:30,620.0,-22192.0,-2652.0
15:30:30,664.0,-22191.0,-2602.0
15:30:30,664.0,-22191.0,-2602.0
15:30:30,664.0,-22191.0,-2602.0
15:30:30,664.0,-22191.0,-2602.0
15:30:30,658.0,-22185.0,-2586.0
15:30:30,658.0,-22185.0,-2586.0
15:30:30,658.0,-22185.0,-2586.0
15:30:30,658.0,-22185.0,-2586.0
15:30:30,667.0,-22177.0,-2560.0
15:30:30,667.0,-22177.0,-2560.0
15:30:30,667.0,-22177.0,-2560.0
15:30:30,667.0,-22177.0,-2560.0
15:30:30,670.0,-22170.0,-2524.0
15:30:30,670.0,-22170.0,-2524.0
15:30:30,670.0,-22170.0,-2524.0
15:30:30,670.0,-22170.0,-2524.0
15:30:30,673.0,-22173.0,-2511.0
15:30:30,673.0,-22173.0,-2511.0
15:30:30,673.0,-22173.0,-2511.0
15:30:30,673.0,-22173.0,-2511.0
15:30:30,699.0,-22172.0,-2490.0
15:30:30,699.0,-22172.0,-2490.0
15:30:30,699.0,-22172.0,-2490.0
15:30:30,699.0,-22172.0,-2490.0
15:30:30,698.0,-22170.0,-2459.0
15:30:30,698.0,-22170.0,-2459.0
15:30:30,698.0,-22170.0,-2459.0
15:30:30,698.0,-22170.0,-2459.0
15:30:30,750.0,-22170.0,-2463.0
15:30:30,750.0,-22170.0,-2463.0
15:30:30,750.0,-22170.0,-2463.0
15:30:30,750.0,-22170.0,-2463.0
15:30:30,750.0,-22186.0,-2516.0
15:30:30,750.0,-22186.0,-2516.0
15:30:30,750.0,-22186.0,-2516.0
15:30:30,750.0,-22186.0,-2516.0
15:30:30,736.0,-22250.0,-2740.0
15:30:30,736.0,-22250.0,-2740.0
15:30:30,736.0,-22250.0,-2740.0
15:30:30,736.0,-22250.0,-2740.0
15:30:30,656.0,-22392.0,-3237.0
15:30:30,656.0,-22392.0,-3237.0
15:30:30,656.0,-22392.0,-3237.0
15:30:30,656.0,-22392.0,-3237.0
15:30:30,567.0,-22470.0,-3483.0
15:30:30,567.0,-22470.0,-3483.0
15:30:30,567.0,-22470.0,-3483.0
15:30:30,567.0,-22470.0,-3483.0
15:30:30,523.0,-22486.0,-3547.0
15:30:30,523.0,-22486.0,-3547.0
15:30:30,523.0,-22486.0,-3547.0
15:30:30,523.0,-22486.0,-3547.0
15:30:30,514.0,-22476.0,-3487.0
15:30:30,514.0,-22476.0,-3487.0
15:30:30,514.0,-22476.0,-3487.0
15:30:30,514.0,-22476.0,-3487.0
15:30:30,499.0,-22447.0,-3354.0
15:30:30,499.0,-22447.0,-3354.0
15:30:30,499.0,-22447.0,-3354.0
15:30:30,499.0,-22447.0,-3354.0
15:30:30,516.0,-22416.0,-3228.0
15:30:30,516.0,-22416.0,-3228.0
15:30:30,516.0,-22416.0,-3228.0
15:30:30,516.0,-22416.0,-3228.0
15:30:30,514.0,-22391.0,-3114.0
15:30:30,514.0,-22391.0,-3114.0
15:30:30,514.0,-22391.0,-3114.0
15:30:30,514.0,-22391.0,-3114.0
15:30:30,520.0,-22379.0,-3029.0
15:30:30,520.0,-22379.0,-3029.0
15:30:30,520.0,-22379.0,-3029.0
15:30:30,520.0,-22379.0,-3029.0
15:30:30,522.0,-22355.0,-2937.0
15:30:30,522.0,-22355.0,-2937.0
15:30:30,522.0,-22355.0,-2937.0
15:30:30,522.0,-22355.0,-2937.0
15:30:30,527.0,-22320.0,-2839.0
15:30:30,527.0,-22320.0,-2839.0
15:30:30,527.0,-22320.0,-2839.0
15:30:30,527.0,-22320.0,-2839.0
15:30:30,512.0,-22308.0,-2765.0
