TimeStamp,ecg,ppg,sp02
15:38:27,688.0,-12877.0,-1819.0
15:38:27,688.0,-12877.0,-1819.0
15:38:27,912.0,-12881.0,-1806.0
15:38:27,912.0,-12881.0,-1806.0
15:38:27,912.0,-12881.0,-1806.0
15:38:27,912.0,-12881.0,-1806.0
15:38:27,933.0,-12877.0,-1790.0
15:38:27,933.0,-12877.0,-1790.0
15:38:27,933.0,-12877.0,-1790.0
15:38:27,933.0,-12877.0,-1790.0
15:38:27,972.0,-12875.0,-1785.0
15:38:27,972.0,-12875.0,-1785.0
15:38:27,972.0,-12875.0,-1785.0
15:38:27,972.0,-12875.0,-1785.0
15:38:27,954.0,-12868.0,-1763.0
15:38:27,954.0,-12868.0,-1763.0
15:38:27,954.0,-12868.0,-1763.0
15:38:27,954.0,-12868.0,-1763.0
15:38:27,972.0,-12869.0,-1738.0
15:38:27,972.0,-12869.0,-1738.0
15:38:27,972.0,-12869.0,-1738.0
15:38:27,972.0,-12869.0,-1738.0
15:38:27,986.0,-12858.0,-1725.0
15:38:27,986.0,-12858.0,-1725.0
15:38:27,986.0,-12858.0,-1725.0
15:38:27,986.0,-12858.0,-1725.0
15:38:27,986.0,-12855.0,-1704.0
15:38:27,986.0,-12855.0,-1704.0
15:38:27,986.0,-12855.0,-1704.0
15:38:27,986.0,-12855.0,-1704.0
15:38:27,990.0,-12845.0,-1690.0
15:38:27,990.0,-12845.0,-1690.0
15:38:27,990.0,-12845.0,-1690.0
15:38:27,990.0,-12845.0,-1690.0
15:38:27,1046.0,-12844.0,-1669.0
15:38:27,1046.0,-12844.0,-1669.0
15:38:27,1046.0,-12844.0,-1669.0
15:38:27,1046.0,-12844.0,-1669.0
15:38:27,1081.0,-12847.0,-1687.0
15:38:27,1081.0,-12847.0,-1687.0
15:38:27,1081.0,-12847.0,-1687.0
15:38:27,1081.0,-12847.0,-1687.0
15:38:27,1046.0,-12857.0,-1715.0
15:38:27,1046.0,-12857.0,-1715.0
15:38:27,1046.0,-12857.0,-1715.0
15:38:27,1046.0,-12857.0,-1715.0
